,,,,,Electrical % Of Total,,,Natural Gas % Of Total,,
Secondary School,2004,2020,6B,"Helena, Montana",42.99%,28.71%,28.29%,0.00%,96.41%,3.59%
Small Hotel,2004,2020,6B,"Helena, Montana",36.82%,23.11%,40.06%,0.00%,83.48%,16.52%
Small Office,2004,2020,6B,"Helena, Montana",41.46%,19.36%,39.18%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,6B,"Helena, Montana",58.09%,23.58%,18.33%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,6B,"Helena, Montana",66.81%,18.03%,15.16%,0.00%,100.00%,0.00%
Supermarket,2004,2020,6B,"Helena, Montana",19.87%,15.74%,64.39%,0.00%,94.68%,5.32%
Warehouse,2004,2020,6B,"Helena, Montana",68.88%,20.62%,10.50%,0.00%,100.00%,0.00%
Full Service Restaurant,2004,2020,7,"Duluth, Minnesota",28.18%,10.86%,60.96%,0.00%,68.33%,31.67%
Hospital,2004,2020,7,"Duluth, Minnesota",14.58%,54.93%,30.49%,0.00%,92.97%,7.03%
Large Hotel,2004,2020,7,"Duluth, Minnesota",19.73%,46.15%,34.12%,0.00%,91.76%,8.24%
Large Office Building,2004,2020,7,"Duluth, Minnesota",32.89%,14.62%,52.49%,0.00%,100.00%,0.00%
Medium Office Building,2004,2020,7,"Duluth, Minnesota",29.50%,32.99%,37.52%,0.00%,100.00%,0.00%
Midrise Apartment,2004,2020,7,"Duluth, Minnesota",32.52%,10.88%,56.60%,0.00%,100.00%,0.00%
Outpatient,2004,2020,7,"Duluth, Minnesota",16.23%,46.50%,37.27%,0.00%,94.73%,5.27%
Primary School,2004,2020,7,"Duluth, Minnesota",47.56%,7.40%,45.04%,0.00%,92.98%,7.02%
Quick Service Restaurant,2004,2020,7,"Duluth, Minnesota",20.36%,9.62%,70.02%,0.00%,57.88%,42.12%
Secondary School,2004,2020,7,"Duluth, Minnesota",42.54%,29.48%,27.98%,0.00%,97.56%,2.44%
Small Hotel,2004,2020,7,"Duluth, Minnesota",35.64%,25.59%,38.77%,0.00%,87.06%,12.94%
Small Office,2004,2020,7,"Duluth, Minnesota",41.48%,19.33%,39.20%,0.00%,100.00%,0.00%
Standalone Retail,2004,2020,7,"Duluth, Minnesota",62.88%,17.28%,19.84%,0.00%,100.00%,0.00%
Strip Mall,2004,2020,7,"Duluth, Minnesota",68.08%,16.47%,15.45%,0.00%,100.00%,0.00%
Supermarket,2004,2020,7,"Duluth, Minnesota",19.99%,14.18%,65.84%,0.00%,95.99%,4.01%
Warehouse,2004,2020,7,"Duluth, Minnesota",68.54%,21.01%,10.45%,0.00%,100.00%,0.00%
Average Building,,,,,33.15%,17.06%,49.64%,,,
